TIME,dff,inf,target,adj_gdpc1,adj_gdppot,outputgap,Debt-to-GDP%,Debt,UN rate,Crisis_Dummy,Recession Dummy,Elections,General_Dummy
1987Q3,7.029803922,3.664563218,2,8539.075,8687.491018,-0.01723148886,48.1165,410870.4022,5.7,0,0,0,0
1987Q4,6.919673913,3.664563218,2,8685.694,8755.760661,-0.008034540593,48.55667,421748.3773,5.7,0,0,0,0
1988Q1,6.665934066,4.077741107,2,8730.569,8823.690387,-0.01060964844,49.03151,428072.9812,5.3,0,0,0,0
1988Q2,7.154945055,4.077741107,2,8845.28,8891.844672,-0.005250544231,49.08744,434192.1513,5.3,0,0,0,0
1988Q3,7.983478261,4.077741107,2,8897.107,8959.83139,-0.007025241049,49.25732,438247.6466,5.3,0,0,1,1
1988Q4,8.468478261,4.077741107,2,9015.661,9027.76543,-0.001341699856,49.71548,448217.9141,5.3,0,0,0,0
1989Q1,9.446444444,4.82700303,2,9107.314,9095.384195,0.001310773472,49.73276,452931.8614,5.4,0,0,0,0
1989Q2,9.725714286,4.82700303,2,9176.827,9162.620127,0.001549324323,49.8876,457809.8746,5.4,0,0,0,0
1989Q3,9.083586957,4.82700303,2,9244.816,9229.41458,0.001667341285,50.17117,463823.2352,5.4,0,0,0,0
1989Q4,8.614456522,4.82700303,2,9263.033,9295.882246,-0.00354,51.38111,475944.9175,5.4,0,0,0,0
1990Q1,8.248,5.39795644,2,9364.259,9361.442739,0.0003007910038,51.96856,486647.0557,6.3,0,0,0,0
1990Q2,8.239340659,5.39795644,2,9398.243,9426.298423,-0.00298073069,52.7473,495731.943,6.3,0,0,0,0
1990Q3,8.160217391,5.39795644,2,9404.494,9489.747945,-0.00902439207,53.75313,505520.9886,6.3,0,1,0,1
1990Q4,7.743369565,5.39795644,2,9318.876,9551.959313,-0.02470427658,56.03613,522193.747,6.3,0,1,0,1
1991Q1,6.430444444,4.234963965,2,9275.276,9613.277448,-0.03579284493,57.41652,532554.07,7.3,0,1,0,1
1991Q2,5.864065934,4.234963965,2,9347.597,9673.756934,-0.03429744347,57.74551,539781.756,7.3,0,1,0,1
1991Q3,5.645217391,4.234963965,2,9394.834,9733.877752,-0.03545238873,59.06123,554870.4517,7.3,1,0,0,1
1991Q4,4.818478261,4.234963965,2,9427.581,9794.348898,-0.03816603427,60.68599,572122.0863,7.3,0,0,0,0
1992Q1,4.024285714,3.028819678,2,9540.444,9855.450239,-0.03248460063,60.99679,581936.4592,7.4,0,0,0,0
1992Q2,3.774065934,3.028819678,2,9643.893,9917.522896,-0.02797831675,61.57938,593864.9517,7.4,0,0,0,0
1992Q3,3.25923913,3.028819678,2,9739.185,9981.249636,-0.02455085795,61.89802,602836.2679,7.4,0,0,1,1
1992Q4,3.034891304,3.028819678,2,9840.753,10045.96366,-0.02063869574,62.52256,615269.0699,7.4,0,0,0,0
1993Q1,3.042333333,2.951656966,2,9857.185,10111.64175,-0.02548677788,62.86657,619687.4108,6.5,0,0,0,0
1993Q2,2.997252747,2.951656966,2,9914.565,10178.81079,-0.02630329769,63.91524,633691.8015,6.5,0,0,0,0
1993Q3,3.057717391,2.951656966,2,9961.873,10246.82619,-0.02820291123,64.10093,638565.3238,6.5,0,0,0,0
1993Q4,2.98826087,2.951656966,2,10097.362,10315.52293,-0.02137563995,64.66861,652982.3652,6.5,0,0,0,0
1994Q1,3.209333333,2.607441592,2,10195.338,10384.66629,-0.01839976595,64.30709,655632.5183,5.5,0,0,0,0
1994Q2,3.938021978,2.607441592,2,10333.495,10454.16547,-0.01160994778,64.10716,662451.0173,5.5,0,0,0,0
1994Q3,4.485434783,2.607441592,2,10393.898,10524.58448,-0.01249499613,64.01176,665331.7042,5.5,0,0,0,0
1994Q4,5.167934783,2.607441592,2,10512.962,10595.55595,-0.00782569139,64.38584,676885.8893,5.5,0,0,0,0
1995Q1,5.802777778,2.805419689,2,10550.251,10666.76379,-0.01098306804,64.66271,682207.8208,5.6,0,0,0,0
1995Q2,6.019120879,2.805419689,2,10581.723,10738.72938,-0.01472850766,65.31294,691123.4394,5.6,0,0,0,0
1995Q3,5.797173913,2.805419689,2,10671.738,10810.97292,-0.01296269065,64.73906,690878.2867,5.6,0,0,0,0
1995Q4,5.719456522,2.805419689,2,10744.203,10884.85979,-0.01300646047,64.18282,689593.2472,5.6,0,0,0,0
1996Q1,5.370989011,2.9312042,2,10824.674,10959.97344,-0.01242169996,65.04171,704055.3072,5.4,0,0,0,0
1996Q2,5.243956044,2.9312042,2,11005.217,11039.98529,-0.003154275772,64.2497,707081.8907,5.4,0,0,0,0
1996Q3,5.306195652,2.9312042,2,11103.935,11125.9928,-0.001984514471,64.25469,713479.9012,5.4,0,0,1,1
1996Q4,5.280869565,2.9312042,2,11219.238,11217.87388,0.0001215953641,64.44697,723045.8948,5.4,0,0,0,0
1997Q1,5.278444444,2.337689937,2,11291.665,11315.44152,-0.002103455817,64.34428,726554.0544,4.7,0,0,0,0
1997Q2,5.522197802,2.337689937,2,11479.33,11418.05252,0.005352369713,63.10907,724449.8405,4.7,0,0,0,0
1997Q3,5.534673913,2.337689937,2,11622.911,11526.00578,0.008372381997,62.48709,726281.8857,4.7,0,0,0,0
1997Q4,5.507391304,2.337689937,2,11722.722,11637.99037,0.007254231245,62.77032,735839.0112,4.7,0,0,0,0
1998Q1,5.519333333,1.552279099,2,11839.876,11753.43159,0.007327908026,62.50988,740109.228,4.4,0,0,0,0
1998Q2,5.497472527,1.552279099,2,11949.492,11872.70013,0.006447109429,61.85196,739099.5012,4.4,0,0,0,0
1998Q3,5.531630435,1.552279099,2,12099.191,11994.19094,0.008716146793,60.58693,733052.8382,4.4,0,0,0,0
1998Q4,4.860543478,1.552279099,2,12294.737,12117.92544,0.01448548723,60.40696,742687.6862,4.4,0,0,0,0
1999Q1,4.734555556,2.188027197,2,12410.778,12244.17277,0.01351515722,60.04894,745254.0635,4,0,0,0,0
1999Q2,4.747692308,2.188027197,2,12514.408,12372.06647,0.01143939282,59.19227,740756.2172,4,0,0,0,0
1999Q3,5.095543478,2.188027197,2,12679.977,12501.7133,0.01415843647,58.39258,740416.5714,4,0,0,0,0
1999Q4,5.304021739,2.188027197,2,12888.281,12633.75621,0.01994615312,58.34336,751945.6182,4,0,0,0,0
2000Q1,5.677692308,3.376857271,2,12935.252,12767.20327,0.01307665939,57.72134,746640.0787,3.9,0,0,0,0
2000Q2,6.271978022,3.376857271,2,13170.749,12898.03853,0.02092313763,55.48491,730777.8229,3.9,0,0,0,0
2000Q3,6.519456522,3.376857271,2,13183.89,13023.82481,0.01221527152,54.99213,725010.1928,3.9,0,0,1,1
